,level,name,classe
https://www.zenithwakfu.com/builder/cczyj,140,140 v01,sadida
https://www.zenithwakfu.com/builder/wkou2,245,J,ouginak
https://www.zenithwakfu.com/builder/mv7j1,50,heal modu,eniripsa
https://www.zenithwakfu.com/builder/9eqtv,50,dpt,enutrof
https://www.zenithwakfu.com/builder/xhego,110,ft,osamodas
https://www.zenithwakfu.com/builder/jdiae,155,asd,enutrof
https://www.zenithwakfu.com/builder/hku0p,245,sac,sacrieur
https://www.zenithwakfu.com/builder/lcvc9,95,Test Anu 95,enutrof
https://www.zenithwakfu.com/builder/lg0cv,50,ijhijk,xelor
https://www.zenithwakfu.com/builder/kogb7,125,cee,xelor
https://www.zenithwakfu.com/builder/jryzj,110,xelor dps,xelor
https://www.zenithwakfu.com/builder/vzeir,140,DPT xelor,xelor
https://www.zenithwakfu.com/builder/wnqky,155,SACRI,sacrieur
https://www.zenithwakfu.com/builder/pzacm,110,meme,xelor
https://www.zenithwakfu.com/builder/5a7gx,200,dsadasd,zobal
https://www.zenithwakfu.com/builder/icm4n,80,cailloux,sadida
https://www.zenithwakfu.com/builder/woisd,80,30,eliotrope
https://www.zenithwakfu.com/builder/hbtzz,20,20,eniripsa
https://www.zenithwakfu.com/builder/zhg38,110,100101101,eliotrope
https://www.zenithwakfu.com/builder/py5wu,185,HUPPER ELEM,huppermage
https://www.zenithwakfu.com/builder/rmtfc,110,ftukj,xelor
https://www.zenithwakfu.com/builder/xs3kh,155,eca,ecaflip
https://www.zenithwakfu.com/builder/fczit,155,test,eniripsa
https://www.zenithwakfu.com/builder/fwmqu,185,myougi,ouginak
https://www.zenithwakfu.com/builder/pkmuu,80,Xel Crit,xelor
https://www.zenithwakfu.com/builder/orxgb,110,Retouche DPT mêlée Bob,enutrof
https://www.zenithwakfu.com/builder/l1zab,215,test  build,xelor
https://www.zenithwakfu.com/builder/ufcng,185,NEHUTRE berzerk 185,sacrieur
https://www.zenithwakfu.com/builder/upfnq,80,rhe,steamer
https://www.zenithwakfu.com/builder/oa2b4,155,Sacri,sacrieur
https://www.zenithwakfu.com/builder/uuxhe,110,xelor,xelor
https://www.zenithwakfu.com/builder/qage1,155,Crâ,cra
https://www.zenithwakfu.com/builder/ip7km,245,zefdz,steamer
https://www.zenithwakfu.com/builder/ueqsw,155,Al Cra 155,cra
https://www.zenithwakfu.com/builder/4wuv4,245,Coco,sacrieur
https://www.zenithwakfu.com/builder/ero9n,20,Tank 20,feca
https://www.zenithwakfu.com/builder/c7qec,170,zerggzer,sacrieur
https://www.zenithwakfu.com/builder/56byp,200,cra 200 test,cra
https://www.zenithwakfu.com/builder/exp9a,110,kk,sadida
https://www.zenithwakfu.com/builder/lhebl,65,zefg,sadida
https://www.zenithwakfu.com/builder/xg68s,230,gros caca,steamer
https://www.zenithwakfu.com/builder/q1ymp,185,Osa 185 dist,osamodas
https://www.zenithwakfu.com/builder/i8y4v,245,karacol,enutrof
