,PdV,PA,PM,PW,Armure,Armure reçue,Armure donnée,Maîtrise Eau,Résistance Eau(,Maîtrise Terre,Résistance Terre(,Maîtrise Air,Résistance Air(,Maîtrise Feu,Résistance Feu(,Maîtrise cumulée,Dommages Infligés,Soins réalisés,Coup Critique,Parade,Initiative,PO,Esquive,Tacle,Sagesse,Prospection,Contrôle,Volonté,Maîtrise Critique,Résistance Critique,Maîtrise Dos,Résistance Dos,Maîtrise Mêlée,Maîtrise Distance,Maîtrise Soin,Maîtrise Berserk,BQ
https://www.zenithwakfu.com/builder/cczyj,1450,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
https://www.zenithwakfu.com/builder/wkou2,2500,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
https://www.zenithwakfu.com/builder/mv7j1,1173,9,5,6,0,0,0,148,37,130,35,79,34,148,41,733,0,0,11,2,0,1,138,17,0,0,1,0,0,0,0,0,0,218,367,0,
https://www.zenithwakfu.com/builder/9eqtv,1067,11,5,6,0,0,0,258,35,258,33,96,33,195,34,694,0,0,35,2,0,0,78,19,0,0,1,0,72,0,51,3,313,0,0,0,
https://www.zenithwakfu.com/builder/xhego,4305,10,4,14,0,0,0,456,73,0,72,77,75,418,73,1217,0,0,10,3,80,0,117,84,0,0,1,0,0,0,162,0,599,0,0,0,
https://www.zenithwakfu.com/builder/jdiae,7393,13,5,6,0,0,0,60,73,728,69,456,72,728,69,2495,0,0,33,15,0,-1,88,706,0,0,2,0,38,5,0,20,988,0,0,741,
https://www.zenithwakfu.com/builder/hku0p,6338,11,5,6,0,0,0,40,50,287,53,287,49,287,53,597,0,0,38,10,0,0,125,254,0,0,1,0,34,0,6,0,72,0,36,162,
https://www.zenithwakfu.com/builder/lcvc9,2150,9,6,7,0,0,0,469,38,256,40,15,39,469,38,602,0,0,16,3,0,0,43,140,0,0,2,0,20,0,0,0,113,0,0,0,
https://www.zenithwakfu.com/builder/lg0cv,1276,8,5,14,0,0,0,154,37,106,37,95,39,162,40,436,0,0,11,12,0,3,97,-12,0,0,1,12,11,8,8,28,8,231,8,8,
https://www.zenithwakfu.com/builder/kogb7,5183,12,4,14,0,0,0,209,53,40,43,605,54,516,54,1130,0,0,41,1,0,1,446,125,0,0,3,0,40,0,0,10,0,485,0,0,
https://www.zenithwakfu.com/builder/jryzj,4091,12,5,15,0,0,0,500,54,353,47,271,38,500,58,1529,0,0,46,0,0,3,265,28,0,0,1,0,238,0,-18,0,0,809,0,0,
https://www.zenithwakfu.com/builder/vzeir,6046,13,4,13,0,0,0,701,55,229,49,559,50,807,50,1952,10,0,30,3,0,4,410,55,0,0,1,0,56,0,63,0,0,1026,0,0,
https://www.zenithwakfu.com/builder/wnqky,7726,12,5,7,0,0,0,171,68,905,74,229,69,1116,70,3027,36,-22,100,0,10,0,161,494,20,20,2,0,685,43,58,33,805,36,0,327,
https://www.zenithwakfu.com/builder/pzacm,6068,12,3,12,0,0,0,446,75,300,75,135,75,516,75,1254,33,8,81,0,10,1,455,-10,20,20,1,0,232,16,0,16,0,506,0,0,
https://www.zenithwakfu.com/builder/5a7gx,14261,12,6,6,0,0,0,874,73,70,71,874,63,874,71,4602,10,0,60,27,0,0,858,1093,0,0,1,0,818,20,666,0,2244,0,0,0,
https://www.zenithwakfu.com/builder/icm4n,2672,10,4,6,0,0,0,152,61,490,67,305,61,72,61,1133,0,0,18,9,40,2,186,-20,0,0,1,0,0,0,0,0,0,394,249,0,
https://www.zenithwakfu.com/builder/woisd,1169,7,5,6,0,0,0,90,12,29,12,0,9,90,3,144,0,0,6,6,0,0,20,0,0,0,1,0,0,0,0,0,54,0,0,0,
https://www.zenithwakfu.com/builder/hbtzz,390,9,3,6,0,0,0,129,22,288,22,258,22,258,22,404,8,8,14,2,10,0,23,23,10,10,1,0,0,0,0,0,0,0,116,0,
https://www.zenithwakfu.com/builder/zhg38,3938,12,4,10,0,0,0,370,62,176,60,79,59,370,61,988,0,0,38,7,0,2,338,21,0,0,2,0,81,0,0,0,0,528,0,9,
https://www.zenithwakfu.com/builder/py5wu,10858,13,4,,0,0,0,2341,57,3385,58,3202,71,3385,68,3385,8,8,88,11,90,1,383,197,20,20,1,20,0,0,0,0,0,0,0,0,500
https://www.zenithwakfu.com/builder/rmtfc,1150,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
https://www.zenithwakfu.com/builder/xs3kh,9724,12,6,6,0,0,0,1316,61,642,65,504,63,1316,69,1960,0,0,34,9,0,3,700,268,0,0,2,0,0,10,0,10,0,0,734,-90,
https://www.zenithwakfu.com/builder/fczit,1600,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
https://www.zenithwakfu.com/builder/fwmqu,12563,12,5,8,0,0,15,515,64,515,68,353,64,161,44,1811,-10,0,32,35,0,-1,556,621,0,0,1,30,24,40,0,40,1224,48,0,0,
https://www.zenithwakfu.com/builder/pkmuu,1580,11,4,11,0,0,0,201,18,128,11,32,29,239,23,441,0,0,96,0,0,2,73,-29,0,0,1,0,56,0,0,0,0,132,14,0,
https://www.zenithwakfu.com/builder/orxgb,4394,9,7,4,0,0,0,627,59,465,59,212,59,627,60,1858,51,-22,70,-6,10,-1,137,85,10,10,1,30,309,16,218,16,647,16,16,25,
https://www.zenithwakfu.com/builder/l1zab,16482,13,4,14,0,0,0,1123,78,448,80,2657,76,4554,71,5918,35,0,-3,8,0,4,536,509,0,0,1,0,0,0,0,0,0,700,0,664,
https://www.zenithwakfu.com/builder/ufcng,14352,12,5,6,0,0,0,1230,68,370,64,90,63,1230,58,2914,10,0,40,0,0,1,551,285,0,0,1,0,0,15,0,30,380,380,0,924,
https://www.zenithwakfu.com/builder/upfnq,2459,12,5,8,0,0,0,173,42,305,36,305,42,60,36,622,0,0,19,0,20,1,153,-20,0,0,1,0,15,0,0,0,0,302,0,0,
https://www.zenithwakfu.com/builder/oa2b4,13862,12,5,8,0,0,0,20,79,602,82,190,79,813,80,1226,0,0,-2,52,0,0,111,1123,0,0,1,0,0,95,0,23,208,0,0,205,
https://www.zenithwakfu.com/builder/uuxhe,3986,12,4,15,0,0,0,287,43,252,61,807,43,780,69,807,48,0,110,10,0,1,286,90,0,0,1,0,0,0,0,0,0,0,0,0,
https://www.zenithwakfu.com/builder/qage1,7756,13,5,7,0,0,0,205,60,871,61,390,58,977,63,2632,0,0,37,3,0,2,286,66,0,0,2,0,269,0,0,0,0,1476,0,-90,
https://www.zenithwakfu.com/builder/ip7km,2500,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
https://www.zenithwakfu.com/builder/ueqsw,7534,12,6,6,0,0,0,130,54,936,51,230,49,974,54,1770,0,0,56,3,0,3,323,80,0,0,2,0,208,10,0,10,0,588,0,0,
https://www.zenithwakfu.com/builder/4wuv4,2500,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
https://www.zenithwakfu.com/builder/ero9n,333,7,3,6,0,0,0,56,13,56,13,35,13,56,13,96,0,0,3,8,0,0,0,30,0,0,1,0,0,0,0,0,40,0,0,0,
https://www.zenithwakfu.com/builder/c7qec,10008,12,6,7,0,0,0,876,71,1028,71,1028,71,267,72,2461,23,-22,13,52,10,0,366,486,20,20,1,0,60,90,0,18,1337,0,0,36,
