,sublimations_0,sublimations_1,sublimations_2,sublimations_3,sublimations_4,sublimations_5,sublimations_6,sublimations_7,sublimations_8,sublimations_9,sublimations_10,sublimations_11
https://www.zenithwakfu.com/builder/cczyj,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/wkou2,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/mv7j1,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/9eqtv,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/xhego,,,,Carapace II,,,,,,,,
https://www.zenithwakfu.com/builder/jdiae,,,,,,,,,,,Furie,
https://www.zenithwakfu.com/builder/hku0p,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/lcvc9,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/lg0cv,Cicatrisation I,Cicatrisation I,Cicatrisation I,Ravage I,Ravage I,Ravage I,Courage I,Courage I,Ravage I,Cicatrisation I,,
https://www.zenithwakfu.com/builder/kogb7,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/jryzj,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/vzeir,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/wnqky,Brûlure III,Retour enflammé II,Dernier souffle III,Influence III,Influence III,Critique Berserk III,Poids Plume III,Ravage III,Critique Berserk III,Dernier souffle III,Brutalité,Directives
https://www.zenithwakfu.com/builder/pzacm,Cicatrisation III,Puissance brute I,Ravage III,Ténacité II,Brûlure III,Cicatrisation III,Carapace II,Ténacité II,Persistance II,Influence du Wakfu II,Maniement : Deux mains,Energie ancestrale
https://www.zenithwakfu.com/builder/5a7gx,,,,,,,,Influence II,,,,
https://www.zenithwakfu.com/builder/icm4n,Carapace II,,,,,,,,,,,
https://www.zenithwakfu.com/builder/woisd,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/hbtzz,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/zhg38,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/py5wu,Abandon III,Abandon III,Ambition III,,,,Ambition III,,Influence III,Préparation critique III,Dénouement,Excès
https://www.zenithwakfu.com/builder/rmtfc,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/xs3kh,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/fczit,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/fwmqu,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/pkmuu,Influence du Wakfu II,Influence vitale III,Influence vitale III,,,,,,,,,
https://www.zenithwakfu.com/builder/orxgb,Poids Plume III,Puissance brute III,Sanguinolence III,Influence III,Influence III,Gel secondaire III,Carapace II,Ravage III,Embuscade écartée III,Embuscade écartée III,Inflexibilité,Par-delà la barrière
https://www.zenithwakfu.com/builder/l1zab,,Brûlure II,Brûlure II,,,,Courage III,Courage III,,,Concentration Elémentaire,Lunatique
https://www.zenithwakfu.com/builder/ufcng,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/upfnq,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/oa2b4,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/uuxhe,Influence III,Influence III,Neutralité III,Neutralité III,Ambition III,Ambition III,Brûlure III,Brûlure III,Influence du Wakfu II,Brûlure secondaire III,,
https://www.zenithwakfu.com/builder/qage1,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ip7km,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ueqsw,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/4wuv4,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ero9n,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/c7qec,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/56byp,Influence du Wakfu II,Influence III,Armure lourde II,Force vitale II,Ravage III,Longueur III,Carnage III,Influence III,Carnage III,Brûlure III,,
https://www.zenithwakfu.com/builder/exp9a,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/lhebl,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/xg68s,Verrouillage III,Ravage III,Verrouillage III,Influence vitale III,Influence III,Puissance brute I,Force vitale II,Influence vitale III,Influence lente III,Influence III,Concentration Elémentaire,Alternance
https://www.zenithwakfu.com/builder/q1ymp,,Poids Plume III,Dérobade continue III,Ravage III,,Poids Plume III,Dévastation III,Dérobade continue III,,Armure lourde II,Démesuré,
https://www.zenithwakfu.com/builder/i8y4v,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/xsomo,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/s6cxz,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/jwilc,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/1eqjy,Influence du Wakfu II,Influence vitale III,Force vitale II,Armure lourde II,Influence III,Ravage III,Retour PA II,Influence III,Retour PA II,Brûlure III,Maniement : Dague,Sentinelle
https://www.zenithwakfu.com/builder/pkva6,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/qgajv,Expert des armes légères II,Expert des armes légères II,,Ruine II,Ruine II,Expert des armes légères II,,,Ruine II,,,
https://www.zenithwakfu.com/builder/qr3th,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/1ntgg,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/bmw0w,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/jvr08,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/um9ls,Ruine cyclique II,Retour enflammé II,Valeur ajoutée II,Contre-attaque III,Contre-attaque III,Ruine III,Cicatrisation II,Cicatrisation II,Dérobade lente II,Valeur ajoutée II,Constance II,Aura de Flammes
https://www.zenithwakfu.com/builder/vdrdr,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/5o5ly,,Influence II,,,Influence I,,,,,,,
https://www.zenithwakfu.com/builder/njhkl,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/btl2o,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/5khl4,Poids Plume III,Cicatrisation III,,Influence lente III,Influence vitale III,Influence vitale III,Dévastation III,Carapace II,Ravage III,Cicatrisation III,Concentration Elémentaire,Confiance
https://www.zenithwakfu.com/builder/shbul,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/vryt6,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/gjvpn,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/kazfa,Ruine I,,,,,,,,,,,
https://www.zenithwakfu.com/builder/leir8,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/szfxy,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/wyk1u,Force vitale II,,Retour PA II,Retour PA II,Puissance brute I,Persistance II,Carapace II,Influence III,Influence vitale III,Influence du Wakfu II,Concentration Elémentaire,Alternance
https://www.zenithwakfu.com/builder/yt6kq,,,,,,,,,,,,
